bizno,rgncd,rgnnm,cntrynm,mnfctdivnm,emplyenum,corpbsnsdivcd,hdoffcedivnm
1282461413,41281,경기도 고양시 덕양구 원흥동,대한민국,공급,2,07,본사
1120632525,41285,경기도 고양시 일산동구,대한민국,공급,1,07,본사
5608801299,47170,경상북도 안동시,대한민국,공급,4,"03,05,07",본사
1878801357,48820,경상남도 고성군,대한민국,공급,2,07,본사
8678100815,48220,경상남도 통영시,대한민국,공급,4,07,본사
1868101831,46710,전라남도 담양군,대한민국,공급,8,07,본사
7718602818,48220,경상남도 통영시 산양읍 남평리,대한민국,공급,1,07,본사
8178102730,46710,전라남도 담양군,대한민국,공급,3,07,본사
8178100426,47170,경상북도 안동시,대한민국,공급,7,07,본사
2248801641,41281,경기도 고양시 덕양구,대한민국,공급,5,"03,05,07",본사
1748801953,47170,경상북도 안동시,대한민국,공급,6,07,본사
2458601227,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,03,05,07",본사
6658800620,46710,전라남도 담양군,대한민국,공급,5,"03,05,07",본사
2498603299,41285,경기도 고양시 일산동구,대한민국,공급,6,"01,03,05,07",본사
4098646696,46710,전라남도 담양군,대한민국,공급,12,07,본사
4758701524,47170,경상북도 안동시,대한민국,공급,8,"01,07",본사
6128144377,48220,경상남도 통영시,대한민국,공급,3,07,본사
7968600783,47170,경상북도 안동시,대한민국,공급,5,"03,05,07",본사
2388800108,46710,전라남도 담양군,대한민국,공급,4,"03,05,07",본사
3158602637,47170,경상북도 안동시,대한민국,공급,4,07,본사
3758102522,46710,전라남도 담양군,대한민국,공급,3,07,본사
8178801685,46710,전라남도 담양군,대한민국,공급,2,07,본사
8718701187,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
6128143868,48220,경상남도 통영시,대한민국,공급,5,07,본사
2878701228,47170,경상북도 안동시,대한민국,공급,3,07,본사
6488701796,47170,경상북도 안동시,대한민국,공급,4,07,본사
1308802495,46710,전라남도 담양군,대한민국,공급,3,07,본사
4108692244,46710,전라남도 담양군,대한민국,공급,6,07,본사
4148802919,41281,경기도 고양시 덕양구,대한민국,공급,4,07,본사
7798703026,48220,경상남도 통영시,대한민국,공급,2,07,본사
4108650899,41281,경기도 고양시 덕양구,대한민국,공급,6,"01,07",본사
6758801024,41281,경기도 고양시 덕양구,대한민국,공급,2,"01,07",본사
5338100192,41285,경기도 고양시 일산동구,대한민국,공급,4,"03,05,07",본사
1808601712,46710,전라남도 담양군,대한민국,공급,2,"01,07",본사
5088136087,47170,경상북도 안동시,대한민국,제조,5,"01,07",본사
4108658246,46720,전라남도 곡성군,대한민국,공급,6,07,본사
5088136054,47170,경상북도 안동시,대한민국,공급,9,07,본사
8598700378,41281,경기도 고양시 덕양구,대한민국,공급,5,"01,03,05,07",본사
7768600154,48220,경상남도 통영시,대한민국,공급,3,07,본사
1758103178,47170,경상북도 안동시,대한민국,공급,4,07,본사
3628801133,41131,경기도 성남시 수정구 신흥동,대한민국,공급,3,"01,07",본사
3258602274,41287,경기도 고양시 일산서구,대한민국,공급,2,"01,07",본사
8758602842,47170,경상북도 안동시,대한민국,공급,2,07,본사
5088123035,47170,경상북도 안동시,대한민국,공급,6,07,본사
1428602591,47170,경상북도 안동시,대한민국,공급,4,07,본사
3498800806,47170,경상북도 안동시,대한민국,공급,4,07,본사
5148195631,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
2218600580,41281,경기도 고양시 덕양구,대한민국,공급,2,07,본사
5128121093,47170,경상북도 안동시,대한민국,공급,6,"03,05,07",본사
7028601865,48220,경상남도 통영시,대한민국,공급,3,07,본사
1288663705,41285,경기도 고양시 일산동구,대한민국,공급,12,"01,07",본사
7648701521,47170,경상북도 안동시,대한민국,공급,8,07,본사
4108645872,46710,전라남도 담양군,대한민국,공급,6,07,본사
2818102789,41285,경기도 고양시 일산동구,대한민국,공급,2,"01,07",본사
2818702627,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
6748602458,27140,대구광역시 동구 신암동,대한민국,공급,2,07,본사
5628702604,41285,경기도 고양시 일산동구,대한민국,공급,3,07,본사
4911101079,47280,경상북도 문경시,대한민국,공급,2,07,본사
2268802705,46710,전라남도 담양군,대한민국,공급,1,07,본사
5088802795,47170,경상북도 안동시,대한민국,공급,4,07,본사
1101921551,41281,경기도 고양시 덕양구,대한민국,공급,1,"01,07",본사
4128148768,48220,경상남도 통영시,대한민국,공급,4,07,본사
4148602588,47170,경상북도 안동시,대한민국,공급,5,07,본사
4878602441,47170,경상북도 안동시,대한민국,공급,10,07,본사
4758600867,41285,경기도 고양시 일산동구,대한민국,공급,5,"03,05,07",본사
3108701718,46710,전라남도 담양군,대한민국,공급,0,07,본사
5088133606,47170,경상북도 안동시,대한민국,공급,3,"01,07",본사
1258631000,29140,광주광역시 서구,대한민국,공급,2,07,본사
7028802121,41281,경기도 고양시 덕양구,대한민국,공급,1,07,본사
2908601474,47170,경상북도 안동시,대한민국,공급,8,07,본사
4588802049,46710,전라남도 담양군,대한민국,공급,6,07,본사
3118700783,47170,경상북도 안동시,대한민국,공급,5,07,본사
1988801809,48220,경상남도 통영시,대한민국,공급,2,07,본사
5088133080,47170,경상북도 안동시,대한민국,공급,3,"01,07",본사
8028802611,48220,경상남도 통영시,대한민국,공급,4,07,본사
8208102584,41285,경기도 고양시 일산동구,대한민국,공급,2,07,본사
6128146190,48220,경상남도 통영시,대한민국,공급,4,07,본사
5088106230,47170,경상북도 안동시,대한민국,공급,5,07,본사
4098116881,46710,전라남도 담양군,대한민국,공급,4,07,본사
5058109728,47170,경상북도 안동시,대한민국,공급,10,07,본사
1328133485,48220,경상남도 통영시,대한민국,공급,10,07,본사
5088106394,47170,경상북도 안동시,대한민국,공급,5,07,본사
5018122108,47170,경상북도 안동시,대한민국,공급,4,07,본사
5088102379,47170,경상북도 안동시,대한민국,공급,6,07,본사
6128113573,48220,경상남도 통영시,대한민국,공급,8,07,본사
