timestamp,batch_size,model_params,embedding_dim,final_embedding_dim,hidden_dims,learning_rate,epochs,train_loss,train_acc,val_loss,val_acc,recall_at_5,recall_at_10,mrr,similarity_gap,train_batches,test_batches,gpu_optimization,throughput_batch_s,throughput_sample_s
2025-09-17 09:04:48,512,2890912,32,128,"[512, 256]",0.001,1,5.755007028122095,0.0166084353007037,5.591711127239725,0.026664402173913,,,0.0974766331179367,0.8763911092982573,1563,391,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-09-17 09:09:17,512,2890912,32,128,"[512, 256]",0.001,1,5.006305098266601,0.03864625,4.907407356954901,0.0434033328005115,,,0.1387827099703462,0.83157510906839,3125,782,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-09-21 01:49:25,256,2890912,32,128,"[512, 256]",0.001,1,4.991204505004883,0.0345825,4.890557247659435,0.0479589593989769,,,0.1478267837496822,0.8883860472523039,3125,782,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-10-20 06:30:00,256,2890912,32,128,"[512, 256]",0.001,1,5.00594772354126,0.03402,4.902471906998578,0.036834638746803,,,0.1235181769770582,0.8732334030101366,3125,782,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-10-23 05:10:46,256,2890913,32,128,"[512, 256]",0.001,1,4.664387572479248,0.02207625,4.598265172270557,0.0226232816496163,,,0.0807029370104184,2.447984753667241,3125,782,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-10-23 05:32:29,256,2890913,32,128,"[512, 256]",0.001,1,4.697495710144043,0.019055,4.69514090203873,0.0195861972506393,,,0.0765446784008113,2.3768193020540127,3125,782,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-10-24 07:54:04,256,2890913,32,128,"[512, 256]",0.001,1,5.127605169708548,0.0115321604520683,5.205823471710008,0.0099316601742958,,,0.0446953344959777,0.9272028855029836,1222397,305600,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-10-26 04:00:21,256,2890913,32,128,"[512, 256]",0.001,1,4.678493303985595,0.0208225,4.8159092612888506,0.0204903292838874,,,0.076297449057593,1.859084615012264,3125,782,GPU Collate + CUDA Streams + TF32/cuDNN,,
2025-11-09 09:00:32,512,2841440,32,128,"[256, 128]",0.001,1,6.300043847150864,,6.158653259277344,,,,,,streaming,0,V2: EBC + GPU gather + ID-only + torch.compile + AMP,8.548382273943112,4376.771724258873
2025-11-09 09:02:49,512,2841440,32,128,"[256, 128]",0.001,1/3,6.2861798037389285,,6.159219264984131,,,,,,157,streaming,V2: EBC + GPU gather + ID-only + torch.compile + AMP,16.745070158182195,8573.475920989284
